"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"18136","726_2_K","726",2,"K",1.58972012854739,2.17944025709478,1,2.21829033876897,2.8531246119389,1.58345606559903,1.90400523365818
"18137","726_2_L","726",2,"L",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"18138","726_2_M","726",2,"M",1,1,1,1,1,1,1
"18139","726_2_N","726",2,"N",NA,NA,NA,NA,NA,NA,NA
"18140","726_2_O","726",2,"O",1.37738267530166,1.75476535060332,1,1,1,1,1.18869133765083
"18141","726_2_P","726",2,"P",NA,NA,NA,NA,NA,NA,NA
"18142","726_2_Q","726",2,"Q",1.8747296369986,2.74945927399721,1,1.5,2,1,1.6873648184993
"18143","726_2_R","726",2,"R",1.5,2,1,NA,NA,NA,1.5
"18144","726_2_S","726",2,"S",1.64726002314266,2.29452004628532,1,1.99833532235117,2.46274169979695,1.53392894490539,1.82279767274692
"18145","726_2_T","726",2,"T",1,1,1,1,1,1,1
"18146","726_2_V","726",2,"V",1.24465067234151,1.48930134468302,1,1.73011648814455,2.4602329762891,1,1.48738358024303
"18147","726_2_W","726",2,"W",1,1,1,1,1,1,1
"18148","726_2_X","726",2,"X",1.48877094992726,1.97754189985451,1,1.35475271048379,1.44374086796802,1.26576455299956,1.42176183020552
"18149","726_2_Y","726",2,"Y",1.37738267530166,1.75476535060332,1,1,1,1,1.18869133765083
"18150","726_2_Z","726",2,"Z",1.43047431566541,1.86094863133081,1,1.93137084989848,2.46274169979695,1.4,1.68092258278194
"18151","727_2_C","727",2,"C",1.73446766736177,2.46893533472354,1,1,1,1,1.36723383368089
"18152","727_2_A","727",2,"A",1,1,1,1,1,1,1
"18153","727_2_B","727",2,"B",1.44494078742115,1.88988157484231,1,1.37738267530166,1.75476535060332,1,1.41116173136141
"18154","727_2_D","727",2,"D",1.68359901249244,2.36719802498488,1,1.26191246275869,1.52382492551739,1,1.47275573762557
"18155","727_2_E","727",2,"E",1.5,2,1,1,1,1,1.25
"18156","727_2_F","727",2,"F",1,1,1,NA,NA,NA,1
"18157","727_2_G","727",2,"G",1.2845962916071,1.5691925832142,1,NA,NA,NA,1.2845962916071
"18158","727_2_H","727",2,"H",1.94016579754438,2.88033159508876,1,NA,NA,NA,1.94016579754438
"18159","727_2_I","727",2,"I",1.48487706282338,1.96975412564675,1,1.99833532235117,2.46274169979695,1.53392894490539,1.74160619258727
"18160","727_2_J","727",2,"J",1.44494078742115,1.88988157484231,1,1.33333333333333,1.66666666666667,1,1.38913706037724
