"","Gender","Genotype","Row","Galls.found","shootEst.all","shootEst.no18","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"185","m","D",5,1,138.627779860107,151.476680974632,207,"4","201","","7.13","7.07",NA,NA,NA,"rG","rG.larv","2"
"186","m","D",5,1,138.627779860107,151.476680974632,207,"3","202","","7.51","6.53",NA,NA,NA,"rG","rG.larv","1"
"187","f","I",14,1,212.066411004529,214.23642961132,626,"14","237","","7.66","5.18","4.46",NA,NA,"rG","rG.larv","1"
"188","f","I",14,1,212.066411004529,214.23642961132,626,"16","242","","7.34","6.14",NA,NA,NA,"rG","rG.larv","1"
"189","f","I",14,1,212.066411004529,214.23642961132,626,"3","248","","8.26","9.11","8.91",NA,NA,"rG","rG.larv","1"
"190","m","K",9,1,153.482478235971,164.586842600687,376,"3","261","","8.48","6.34","5.81",NA,NA,"rG","rG.larv","1"
"191","m","K",9,1,153.482478235971,164.586842600687,376,"4","262","","8.67","6.01","5.45",NA,NA,"rG","rG.larv","1"
"192","m","K",9,1,153.482478235971,164.586842600687,376,"6","264","","6.13","5.61","4.54",NA,NA,"rG","rG.larv","1"
"193","m","K",9,1,153.482478235971,164.586842600687,376,"15","280","","5.48","5.64","5.55",NA,NA,"rG","rG.larv","1"
"194","m","K",9,1,289.975679656331,276.504994546032,382,"13","285","","8.42","5.66","5.51",NA,NA,"rG","rG.larv","1"
"195","m","K",9,1,289.975679656331,276.504994546032,382,"16","288","","8.03","6.51","4.84",NA,NA,"rG","rG.larv","4"
"196","f","X",6,1,208.538239995587,211.325492357578,235,"1.4","320","","6.42","3.83","3.36",NA,NA,"rG","rG.larv","1"
"197","f","X",6,1,208.538239995587,211.325492357578,235,"1.5","321","","5.77","3.32","3.24",NA,NA,"rG","rG.larv","1"
"198","f","X",6,1,208.538239995587,211.325492357578,235,"5","325","","11.76","5.33","4.69",NA,NA,"rG","rG.larv","1"
"199","f","X",6,1,208.538239995587,211.325492357578,235,"10","330","","11.36","7.72","7.38",NA,NA,"rG","rG.larv","2"
"200","m","Z",2,1,274.660830121325,264.537534484633,71,"5","333","","7.91","5.46","4.94",NA,NA,"rG","rG.larv","1"
"201","m","Z",2,1,274.660830121325,264.537534484633,71,"6","334","","6.15","3.9","3.74",NA,NA,"rG","rG.larv","1"
"202","f","F",6,1,315.291373913505,296.036037364122,257,"7","350","","8.07","5.33","5.03",NA,NA,"rG","rG.larv","1"
"203","f","F",6,1,315.291373913505,296.036037364122,257,"9","352","","7.67","4.46","4.19",NA,NA,"rG","rG.larv","1"
