"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"20177","808_4_A","808",4,"A",1.19207274423084,1.38414548846169,1,1,1,1,1.09603637211542
"20178","808_4_B","808",4,"B",1.59690007157718,2.19380014315435,1,1.41652243678128,1.59034989860556,1.24269497495699,1.50671125417923
"20179","808_4_D","808",4,"D",1.89896122814082,2.79792245628164,1,1.24176535023879,1.48353070047759,1,1.57036328918981
"20180","808_4_E","808",4,"E",1.40948425582659,1.81896851165317,1,1,1,1,1.20474212791329
"20181","808_4_F","808",4,"F",1.40948425582659,1.81896851165317,1,1.5,2,1,1.45474212791329
"20182","808_4_G","808",4,"G",1.48199237666844,1.96398475333689,1,1,1,1,1.24099618833422
"20183","808_4_H","808",4,"H",2.1188002741058,3.23760054821159,1,1.5,1,2,1.8094001370529
"20184","808_4_I","808",4,"I",2.11485689110485,3.2297137822097,1,2.13412379022933,2.41745399523475,1.8507935852239,2.12449034066709
"20185","808_4_J","808",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20186","808_4_K","808",4,"K",1.73944228832987,2.47888457665975,1,1.81992263597357,2.21655942551753,1.42328584642961,1.77968246215172
"20187","808_4_L","808",4,"L",1.14672860450566,1.29345720901131,1,2,3,1,1.57336430225283
"20188","808_4_M","808",4,"M",1.33652906337926,1.67305812675851,1,1,1,1,1.16826453168963
"20189","808_4_N","808",4,"N",1.32469244423306,1.64938488846612,1,1.33333333333333,1.66666666666667,1,1.3290128887832
"20190","808_4_O","808",4,"O",1.37738267530166,1.75476535060332,1,NA,NA,NA,1.37738267530166
"20191","808_4_P","808",4,"P",1.97999903005521,2.95999806011041,1,1,1,1,1.4899995150276
"20192","808_4_Q","808",4,"Q",1.93587294374629,2.87174588749259,1,1.66666666666667,1.66666666666667,1.66666666666667,1.80126980520648
"20193","808_4_R","808",4,"R",1.26544437509809,1.53088875019617,1,1.69055078897615,2.3811015779523,1,1.47799758203712
"20194","808_4_S","808",4,"S",1.44280028659048,1.88560057318095,1,2.09934291236989,2.92568955855456,1.27299626618521,1.77107159948018
"20195","808_4_T","808",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20196","808_4_V","808",4,"V",1.267375101023,1.53475020204599,1,1.95917427179713,2.91834854359425,1,1.61327468641006
"20197","808_4_W","808",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"20198","808_4_X","808",4,"X",1.48818885482085,1.97637770964169,1,1.77285067641738,2.25761542985302,1.28808592298173,1.63051976561911
"20199","808_4_Y","808",4,"Y",1.764238739109,2.528477478218,1,1.19207274423084,1,1.38414548846169,1.47815574166992
"20200","808_4_Z","808",4,"Z",1.24465067234151,1.48930134468302,1,2.35453964887768,3.70907929775537,1,1.7995951606096
"20201","809_4_C","809",4,"C",1.90996272939205,2.8199254587841,1,1.40005487675325,1.80010975350649,1,1.65500880307265
"20202","809_4_A","809",4,"A",1.19207274423084,1.38414548846169,1,1,1,1,1.09603637211542
"20203","809_4_B","809",4,"B",1.09143527140141,1.18287054280281,1,1.36281704726414,1.72563409452829,1,1.22712615933278
"20204","809_4_D","809",4,"D",1.77758700873873,2.55517401747747,1,1,1,1,1.38879350436937
"20205","809_4_E","809",4,"E",1.2845962916071,1.5691925832142,1,1,1,1,1.14229814580355
"20206","809_4_F","809",4,"F",1.37738267530166,1.75476535060332,1,1.5,2,1,1.43869133765083
"20207","809_4_G","809",4,"G",1.46890962043919,1.93781924087838,1,NA,NA,NA,1.46890962043919
"20208","809_4_H","809",4,"H",2.10077504916308,3.20155009832617,1,1.5,1,2,1.80038752458154
"20209","809_4_I","809",4,"I",2.11485689110485,3.2297137822097,1,2.13412379022933,2.41745399523475,1.8507935852239,2.12449034066709
"20210","809_4_J","809",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20211","809_4_K","809",4,"K",1.62508381065561,2.25016762131122,1,2.51408287242556,3.59338313615547,1.43478260869565,2.06958334154059
"20212","809_4_L","809",4,"L",1.35454498682853,1.70908997365706,1,1.93587294374629,2.87174588749259,1,1.64520896528741
"20213","809_4_M","809",4,"M",1,1,1,1,1,1,1
"20214","809_4_N","809",4,"N",1.50981964965802,2.01963929931604,1,1.33333333333333,1.66666666666667,1,1.42157649149568
"20215","809_4_O","809",4,"O",1.59806996049677,2.19613992099354,1,1,1,1,1.29903498024839
"20216","809_4_P","809",4,"P",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"20217","809_4_Q","809",4,"Q",1.49704287638765,1.9940857527753,1,1.44494078742115,1,1.88988157484231,1.4709918319044
"20218","809_4_R","809",4,"R",1.46890962043919,1.93781924087838,1,NA,NA,NA,1.46890962043919
"20219","809_4_S","809",4,"S",1.43047431566541,1.86094863133081,1,1.83127429260547,2.38955231902573,1.27299626618521,1.63087430413544
"20220","809_4_T","809",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20221","809_4_V","809",4,"V",1,1,1,2.21514239090612,3.43028478181225,1,1.60757119545306
"20222","809_4_W","809",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"20223","809_4_X","809",4,"X",1.54102685679246,2.08205371358491,1,1.37702777532399,1.48773003571951,1.26632551492848,1.45902731605822
"20224","809_4_Y","809",4,"Y",2.1729303699757,3.34586073995139,1,1.19207274423084,1,1.38414548846169,1.68250155710327
"20225","809_4_Z","809",4,"Z",1.49150538213801,1.98301076427603,1,1.84009920630967,2.37155579836459,1.30864261425474,1.66580229422384
"20226","810_4_C","810",4,"C",1.95041396624924,2.90082793249848,1,1.30190614024133,1.60381228048266,1,1.62616005324528
"20227","810_4_A","810",4,"A",1.19207274423084,1.38414548846169,1,1,1,1,1.09603637211542
"20228","810_4_B","810",4,"B",1.62177555625029,2.24355111250057,1,1.48376486274186,1.67090253386962,1.2966271916141,1.55277020949607
"20229","810_4_D","810",4,"D",1.66453055493889,2.32906110987777,1,1.26191246275869,1.52382492551739,1,1.46322150884879
"20230","810_4_E","810",4,"E",1.2845962916071,1.5691925832142,1,1,1,1,1.14229814580355
"20231","810_4_F","810",4,"F",1.48006585210389,1.96013170420779,1,NA,NA,NA,1.48006585210389
"20232","810_4_G","810",4,"G",1.46890962043919,1.93781924087838,1,NA,NA,NA,1.46890962043919
"20233","810_4_H","810",4,"H",2.10077504916308,3.20155009832617,1,1.5,1,2,1.80038752458154
"20234","810_4_I","810",4,"I",2.09088784539666,3.18177569079332,1,1.93259720640511,2.20031182199342,1.6648825908168,2.01174252590088
"20235","810_4_J","810",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20236","810_4_K","810",4,"K",1.67720762871669,2.35441525743338,1,2.59737073245523,3.83901273893113,1.35572872597933,2.13728918058596
"20237","810_4_L","810",4,"L",1.41121071527281,1.82242143054562,1,1.93587294374629,2.87174588749259,1,1.67354182950955
"20238","810_4_M","810",4,"M",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"20239","810_4_N","810",4,"N",NA,NA,NA,NA,NA,NA,NA
"20240","810_4_O","810",4,"O",1.59806996049677,2.19613992099354,1,1,1,1,1.29903498024839
"20241","810_4_P","810",4,"P",1,1,1,NA,NA,NA,1
"20242","810_4_Q","810",4,"Q",1.48614299004096,1.97228598008191,1,1.44494078742115,1,1.88988157484231,1.46554188873106
"20243","810_4_R","810",4,"R",1.48981316502626,1.97962633005252,1,NA,NA,NA,1.48981316502626
"20244","810_4_S","810",4,"S",1.43047431566541,1.86094863133081,1,1.83127429260547,2.38955231902573,1.27299626618521,1.63087430413544
"20245","810_4_T","810",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20246","810_4_V","810",4,"V",1.16610284562472,1.33220569124945,1,2.09990282429877,3.19980564859755,1,1.63300283496175
"20247","810_4_W","810",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"20248","810_4_X","810",4,"X",1.52539972640512,2.05079945281025,1,1.7239447882401,2.15639377412851,1.2914958023517,1.62467225732261
"20249","810_4_Y","810",4,"Y",1.93958796028619,2.87917592057238,1,1,1,1,1.4697939801431
"20250","810_4_Z","810",4,"Z",1.49861527790608,1.99723055581216,1,1.82767053744122,2.32200774154911,1.33333333333333,1.66314290767365
"20251","811_4_C","811",4,"C",1.90996272939205,2.8199254587841,1,1.40005487675325,1.80010975350649,1,1.65500880307265
"20252","811_4_A","811",4,"A",1,1,1,1,1,1,1
"20253","811_4_B","811",4,"B",1.38615226918749,1.77230453837499,1,1.45068147211717,1.71036738880313,1.19099555543121,1.41841687065233
"20254","811_4_D","811",4,"D",1.89896122814082,2.79792245628164,1,1.24176535023879,1.48353070047759,1,1.57036328918981
"20255","811_4_E","811",4,"E",1.40948425582659,1.81896851165317,1,1,1,1,1.20474212791329
"20256","811_4_F","811",4,"F",1.7526741728056,2.5053483456112,1,1.44494078742115,1,1.88988157484231,1.59880748011338
"20257","811_4_G","811",4,"G",1.54797998262855,2.0959599652571,1,1,1,1,1.27398999131427
"20258","811_4_H","811",4,"H",2.1188002741058,3.23760054821159,1,1.5,1,2,1.8094001370529
"20259","811_4_I","811",4,"I",2.09088784539666,3.18177569079332,1,1.93259720640511,2.20031182199342,1.6648825908168,2.01174252590088
"20260","811_4_J","811",4,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"20261","811_4_K","811",4,"K",1.73944228832987,2.47888457665975,1,1.81992263597357,2.21655942551753,1.42328584642961,1.77968246215172
"20262","811_4_L","811",4,"L",1.17806570669314,1.35613141338627,1,1.44494078742115,1.88988157484231,1,1.31150324705715
"20263","811_4_M","811",4,"M",1.46303511212612,1.92607022425223,1,NA,NA,NA,1.46303511212612
"20264","811_4_N","811",4,"N",1,1,1,NA,NA,NA,1
"20265","811_4_O","811",4,"O",1.7526741728056,2.5053483456112,1,1,1,1,1.3763370864028
"20266","811_4_P","811",4,"P",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"20267","811_4_Q","811",4,"Q",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"20268","811_4_R","811",4,"R",1.5,2,1,NA,NA,NA,1.5
"20269","811_4_S","811",4,"S",1.53740157893565,2.0748031578713,1,2.23819317534498,3.0950085329004,1.38137781778956,1.88779737714032
"20270","811_4_T","811",4,"T",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"20271","811_4_V","811",4,"V",1.34916337575631,1.69832675151261,1,2.10823172766207,3.21646345532414,1,1.72869755170919
"20272","811_4_W","811",4,"W",1.2681085930502,1.53621718610039,1,1.74924033199851,1.8126723038486,1.68580836014842,1.50867446252435
"20273","811_4_X","811",4,"X",1.53498780940822,2.06997561881644,1,1.73665490264146,2.15071434361074,1.32259546167218,1.63582135602484
"20274","811_4_Y","811",4,"Y",2.01034155444716,3.02068310889431,1,1.26386601103962,1.23223549249333,1.29549652958591,1.63710378274339
"20275","811_4_Z","811",4,"Z",1.46711722505327,1.93423445010653,1,2.06263992777419,2.87551643690756,1.24976341864081,1.76487857641373
"20276","812_4_C","812",4,"C",1.84582948596535,2.69165897193069,1,1,1,1,1.42291474298267
"20277","812_4_A","812",4,"A",1.19207274423084,1.38414548846169,1,1,1,1,1.09603637211542
"20278","812_4_B","812",4,"B",1.6542121517509,2.3084243035018,1,1.50190614024133,1.60381228048266,1.4,1.57805914599612
"20279","812_4_D","812",4,"D",1.8663407602185,2.73268152043699,1,1.24176535023879,1.48353070047759,1,1.55405305522864
"20280","812_4_E","812",4,"E",1.2845962916071,1.5691925832142,1,1,1,1,1.14229814580355
"20281","812_4_F","812",4,"F",1.70064460701774,2.40128921403548,1,1.44494078742115,1,1.88988157484231,1.57279269721945
"20282","812_4_G","812",4,"G",1.63975352847739,2.27950705695478,1,NA,NA,NA,1.63975352847739
"20283","812_4_H","812",4,"H",2.10077504916308,3.20155009832617,1,1.5,1,2,1.80038752458154
"20284","812_4_I","812",4,"I",1.74996247685152,2.49992495370303,1,1.77476286963001,2.18024431456471,1.3692814246953,1.76236267324076
