"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"212","K",455,NA,NA,NA,NA,NA,NA,NA,NA,1.81818181818182,322.934,51.297,0.269,1.843,0.484,7.554,2.771,3.308,25.74,0.926,0.608,69.464,29.334,23.554,0.754,0.679,3.382,0.641,31.952,0.18,5.167,0.113,0,2.414,0,0.669,1.383,64.912,0,0,4.702,NA,NA,NA,1.95753715498938,8.7208067940552,48.791540528,0.8343053222,59.1622887824581,0.135967875391482,3.3964790122943,-0.93378531392393,-1.1828856299139,0.041161082707125,3.76488149459735
"213","V",456,NA,NA,NA,NA,NA,NA,NA,NA,3.63636363636364,452.704,57.714,0.257,1.474,0,10.361,1.715,0.12,22.046,0,0.266,64.302,0.492,0,1.41,3.637,1.21,0,0.332,0.249,3.883,0.679,0,1.708,0,0.662,0,6.783,0,0,0.887,NA,NA,NA,2.29380053908356,11.411320754717,48.9050852416667,1.00643783816667,49.0621774512822,1.43696887370431,-1.04470860988376,1.55487524457911,0.74259026756971,2.29343805171406,-1.36571970310126
"214","A",463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982708395,49.17455673,50.0398256290463,NA,NA,49.11685562,1.0307981968,47.8206873923494,NA,NA,NA,NA,NA,NA
"215","X",487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984788418,49.14490891,49.9040281259685,NA,NA,48.502789306,0.9589180112,50.7801486486287,NA,NA,NA,NA,NA,NA
"216","L",491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886630535,49.50190735,55.8314939491679,NA,NA,49.282575226,0.8306997418,60.1190874362029,NA,NA,NA,NA,NA,NA
"217","Y",496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974264622,48.69087982,49.9770583068549,NA,NA,49.428104402,1.0590504764,46.8915922931631,NA,NA,NA,NA,NA,NA
"218","G",507,NA,NA,NA,NA,NA,NA,NA,NA,0,347.047,61.514,0.276,1.783,0.078,4.292,1.277,2.522,36.221,0.361,0.592,97.006,5.192,1.968,3.375,0.748,2.557,0,6.762,0.706,4.84,1.158,0,1.985,0,0.979,0.339,57.684,0,0,3.858,0.889086485,49.90017319,56.1252184482368,2.16755319148936,11.751329787234,49.346783448,0.956262064,51.8372748822095,-0.0788333797079546,0.723167951138761,-0.641494528435182,-2.35130789901671,1.89490028949015,0.566223641920843
"219","N",509,NA,NA,NA,NA,NA,NA,NA,NA,0,145.94,62.156,0.336,3.379,0.3,4.491,0.899,0.146,20.478,1.787,0.29,140.037,0,0.873,1.578,1,1.164,0,6.872,0.344,2.644,0.541,0,1.544,0.751,0.466,0,96.722,0,1.925,2.697,1.292973876,48.85940552,37.7883934292266,2.2289156626506,10.9490963855422,47.99968338,1.0214545368,48.0055005411854,-2.32252681607921,-1.20041896280114,0.0281941629274042,1.17054034617662,2.06852857347043,0.847378755588834
"220","V",517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.072594047,49.39302444,46.0500639343936,NA,NA,48.9050852416667,1.00643783816667,49.0621774512822,NA,NA,NA,NA,NA,NA
"221","*",519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925930977,48.77476883,52.6764629778662,NA,NA,48.780740358,0.9150824786,53.3981372541112,NA,NA,NA,NA,NA,NA
"222","E",522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.042426586,48.591465,46.6138005808689,NA,NA,48.2286357875,1.02753892525,47.0171702640956,NA,NA,NA,NA,NA,NA
"223","F",531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767288864,49.32627869,64.286451953511,NA,NA,47.827425384,0.8790121316,54.8639562560522,NA,NA,NA,NA,NA,NA
"224","H",542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201298714,49.11955643,40.8887114067118,NA,NA,49.003610992,1.089426303,45.3411144993612,NA,NA,NA,NA,NA,NA
"225","K",545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783832431,49.30648422,62.9043686762177,NA,NA,48.791540528,0.8343053222,59.1622887824581,NA,NA,NA,NA,NA,NA
"226","W",552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819476724,49.91893005,60.9156167442286,NA,NA,49.489682768,0.9449272872,52.768762561283,NA,NA,NA,NA,NA,NA
"227","L",554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691773117,49.774086,71.9514603514146,NA,NA,49.282575226,0.8306997418,60.1190874362029,NA,NA,NA,NA,NA,NA
"228","V",555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.159956694,48.88660812,42.1452010862743,NA,NA,48.9050852416667,1.00643783816667,49.0621774512822,NA,NA,NA,NA,NA,NA
"229","J",585,NA,NA,NA,NA,NA,NA,NA,NA,0,229.779,64.84,0.396,2.823,0.348,5.106,1.779,0.116,22.665,0,0.434,145.563,0.473,0,1.609,1.109,2.758,0,0,0.549,5.732,0.357,0,1.781,0,0.621,0,74.487,0,0,9.466,1.063822031,49.16957474,46.2197372372334,1.99236641221374,10.212213740458,49.128264618,1.1675513266,42.229903922324,-1.63728510664194,-0.776786959526435,-0.0712480393045853,-1.25723619281555,0.308705866788787,-1.60184226987832
"230","*",589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856336355,48.74442673,56.9220569060156,NA,NA,48.780740358,0.9150824786,53.3981372541112,NA,NA,NA,NA,NA,NA
